Template,Q,QNER,QNE,QURI,RP,ANE,AURI
ملیت <ENT> کجاست ؟,ملیت اسنو پاترول کجاست ؟,"[('ملیت', 'O'), ('اسنو', 'B_ent'), ('پاترول', 'I_ent'), ('کجاست', 'O'), ('؟', 'O')]",اسنو پاترول,['http://fkg.iust.ac.ir/resource/اسنو_پاترول'],ns0__nationality,"['ایرلند شمالی', 'اسکاتلند']","['http://fkg.iust.ac.ir/resource/ایرلند_شمالی', 'http://fkg.iust.ac.ir/resource/اسکاتلند']"
چه کسی نویسنده <ENT> است ؟‌,چه کسی نویسنده جک فراست است ؟‌,"[('چه', 'O'), ('کسی', 'O'), ('نویسنده', 'O'), ('جک', 'B_ent'), ('فراست', 'I_ent'), ('است', 'O'), ('؟\u200c', 'O')]",جک فراست,['http://fkg.iust.ac.ir/resource/جک_فراست_(فیلم_۱۹۶۴)'],ns0__writer,"['نیکلای اردمان', 'Mikhail Volpin']","['http://fkg.iust.ac.ir/resource/نیکلای_اردمان', 'http://fkg.iust.ac.ir/resource/Mikhail_Volpin']"
<ENT> در چه منطقه ای است ؟, ابباریک در چه منطقه ای است ؟,"[('ابباریک', 'B_ent'), ('در', 'O'), ('چه', 'O'), ('منطقه', 'O'), ('ای', 'O'), ('است', 'O'), ('؟', 'O')]",ابباریک,"['http://fkg.iust.ac.ir/resource/ابباریک_(شازند)', 'http://fkg.iust.ac.ir/resource/ابباریک', 'http://fkg.iust.ac.ir/resource/ابباریک_(اقلید)']",ns0__location_&_ns0__district_&_ns0__part,"['شهرستان شازند', 'بخش مرکزی شهرستان شازند', 'شهرستان اقلید', 'شهرستان اقلید', 'بخش مرکزی شهرستان اقلید']","['http://fkg.iust.ac.ir/resource/شهرستان_شازند', 'http://fkg.iust.ac.ir/resource/بخش_مرکزی_شهرستان_شازند', 'http://fkg.iust.ac.ir/resource/شهرستان_اقلید', 'http://fkg.iust.ac.ir/resource/شهرستان_اقلید', 'http://fkg.iust.ac.ir/resource/بخش_مرکزی_شهرستان_اقلید']"
<ENT> در کجا به دنیا امده است؟, ابن فرفور دمشقی در کجا به دنیا امده است؟,"[('ابن', 'B_ent'), ('فرفور', 'I_ent'), ('دمشقی', 'I_ent'), ('در', 'O'), ('کجا', 'O'), ('به', 'O'), ('دنیا', 'O'), ('امده', 'O'), ('است؟', 'O')]",ابن فرفور دمشقی,['http://fkg.iust.ac.ir/resource/ابن_فرفور_دمشقی'],ns0__birthPlace,['دمشق'],['http://fkg.iust.ac.ir/resource/دمشق']
ژانر <ENT> چیست ؟,ژانر  جنگ باغ چیست ؟,"[('ژانر', 'O'), ('جنگ', 'B_ent'), ('باغ', 'I_ent'), ('چیست', 'O'), ('؟', 'O')]", جنگ باغ,['http://fkg.iust.ac.ir/resource/گیاهان_دربرابر_زامبی\u200cها:_جنگ_باغ'],ns0__genre,"['تیراندازی سوم شخص', 'تاور دیفنس']","['http://fkg.iust.ac.ir/resource/تیراندازی_سوم_شخص', 'http://fkg.iust.ac.ir/resource/تاور_دیفنس']"
<ENT> در کجا قرار دارد ؟, تیلویند ایرلاینز در کجا قرار دارد ؟,"[('تیلویند', 'B_ent'), ('ایرلاینز', 'I_ent'), ('در', 'O'), ('کجا', 'O'), ('قرار', 'O'), ('دارد', 'O'), ('؟', 'O')]",تیلویند ایرلاینز,['http://fkg.iust.ac.ir/resource/تیلویند_ایرلاینز'],ns0__location_&_ns0__district_&_ns0__part,"['ترکیه', 'استانبول']","['http://fkg.iust.ac.ir/resource/ترکیه', 'http://fkg.iust.ac.ir/resource/استانبول']"
ستاره معروف <ENT> کیست ؟,ستاره معروف دزد و پری کیست ؟,"[('ستاره', 'O'), ('معروف', 'O'), ('دزد', 'B_ent'), ('و', 'I_ent'), ('پری', 'I_ent'), ('کیست', 'O'), ('؟', 'O')]",دزد و پری,['http://fkg.iust.ac.ir/resource/دزد_و_پری'],ns0__starring,"['بهزاد فراهانی', 'مرتضی زارع', 'مهدی تارخ', 'رابعه اسکویی', 'نادر سلیمانی', 'بهنوش بختیاری', 'نگین معتضدی']","['http://fkg.iust.ac.ir/resource/بهزاد_فراهانی', 'http://fkg.iust.ac.ir/resource/مرتضی_زارع', 'http://fkg.iust.ac.ir/resource/مهدی_تارخ', 'http://fkg.iust.ac.ir/resource/رابعه_اسکویی', 'http://fkg.iust.ac.ir/resource/نادر_سلیمانی', 'http://fkg.iust.ac.ir/resource/بهنوش_بختیاری', 'http://fkg.iust.ac.ir/resource/نگین_معتضدی']"
<ENT> از توابع کدام شهر است ؟, بیجارپشت از توابع کدام شهر است ؟,"[('بیجارپشت', 'B_ent'), ('از', 'O'), ('توابع', 'O'), ('کدام', 'O'), ('شهر', 'O'), ('است', 'O'), ('؟', 'O')]",بیجارپشت,['http://fkg.iust.ac.ir/resource/بیجارپشت'],ns0__village,['شهرستان سیاهکل'],['http://fkg.iust.ac.ir/resource/شهرستان_سیاهکل']
<ENT> در چه شهری قرار دارد ؟, تیت‌گم در چه شهری قرار دارد ؟,"[('تیت\u200cگم', 'B_ent'), ('در', 'O'), ('چه', 'O'), ('شهری', 'O'), ('قرار', 'O'), ('دارد', 'O'), ('؟', 'O')]",تیت‌گم,['http://fkg.iust.ac.ir/resource/تیت\u200cگم'],ns0__location_&_ns0__district_&_ns0__part,"['استان خوزستان', 'بخش سردشت']","['http://fkg.iust.ac.ir/resource/استان_خوزستان', 'http://fkg.iust.ac.ir/resource/بخش_سردشت']"
<ENT> در چه منطقه ای است ؟, اب میک در چه منطقه ای است ؟,"[('اب', 'B_ent'), ('میک', 'I_ent'), ('در', 'O'), ('چه', 'O'), ('منطقه', 'O'), ('ای', 'O'), ('است', 'O'), ('؟', 'O')]",اب میک,['http://fkg.iust.ac.ir/resource/اب_میک'],ns0__location_&_ns0__district_&_ns0__part,"['شهرستان کازرون', 'بخش جره و بالاده']","['http://fkg.iust.ac.ir/resource/شهرستان_کازرون', 'http://fkg.iust.ac.ir/resource/بخش_جره_و_بالاده']"
شغل <ENT> چیست ؟,شغل مک سنت چیست ؟,"[('شغل', 'O'), ('مک', 'B_ent'), ('سنت', 'I_ent'), ('چیست', 'O'), ('؟', 'O')]",مک سنت,['http://fkg.iust.ac.ir/resource/مک_سنت'],ns0__occupation,"['فیلم بردار', 'تهیه کننده', 'مجری', 'آهنگ ساز', 'مجری تلویزیون', 'فیلم نامه نویس', 'کارگردان فیلم', 'هنرپیشه']","['http://fkg.iust.ac.ir/resource/فیلم\u200cبردار', 'http://fkg.iust.ac.ir/resource/تهیه\u200cکننده', 'http://fkg.iust.ac.ir/resource/مجری', 'http://fkg.iust.ac.ir/resource/آهنگ\u200cساز', 'http://fkg.iust.ac.ir/resource/مجری_تلویزیون', 'http://fkg.iust.ac.ir/resource/فیلم\u200cنامه\u200cنویس', 'http://fkg.iust.ac.ir/resource/کارگردان_فیلم', 'http://fkg.iust.ac.ir/resource/هنرپیشه']"
محل مرگ  <ENT>   کجاست ؟,محل مرگ ویکتور کیلیان کجاست ؟,"[('محل', 'O'), ('مرگ', 'O'), ('ویکتور', 'B_ent'), ('کیلیان', 'I_ent'), ('کجاست', 'O'), ('؟', 'O')]",ویکتور کیلیان,['http://fkg.iust.ac.ir/resource/ویکتور_کیلیان'],ns0__deathPlace,['لس آنجلس'],['http://fkg.iust.ac.ir/resource/لس_آنجلس']
<ENT> در چه منطقه ای است ؟, دم گروبند در چه منطقه ای است ؟,"[('دم', 'B_ent'), ('گروبند', 'I_ent'), ('در', 'O'), ('چه', 'O'), ('منطقه', 'O'), ('ای', 'O'), ('است', 'O'), ('؟', 'O')]",دم گروبند,['http://fkg.iust.ac.ir/resource/دم_گروبند'],ns0__location_&_ns0__district_&_ns0__part,"['شهرستان بندرعباس', 'بخش مرکزی شهرستان بندرعباس']","['http://fkg.iust.ac.ir/resource/شهرستان_بندرعباس', 'http://fkg.iust.ac.ir/resource/بخش_مرکزی_شهرستان_بندرعباس']"
<ENT> از چه گروهی است ؟, شاپرک اطلس از چه گروهی است ؟,"[('شاپرک', 'B_ent'), ('اطلس', 'I_ent'), ('از', 'O'), ('چه', 'O'), ('گروهی', 'O'), ('است', 'O'), ('؟', 'O')]",شاپرک اطلس,['http://fkg.iust.ac.ir/resource/شاپرک_اطلس'],ns0__order_&_ns0__family_&_ns0__genus,"['پروانه سانان', 'شاپرکان چشم گربه ای', 'شاپرکان چشم گربه ای آتاکوس']","['http://fkg.iust.ac.ir/resource/پروانه\u200cسانان', 'http://fkg.iust.ac.ir/resource/شاپرکان_چشم\u200cگربه\u200cای', 'http://fkg.iust.ac.ir/resource/شاپرکان_چشم\u200cگربه\u200cای_آتاکوس']"
<ENT> به کدام تیره تعلق دارد؟, اسپرس علوفه‌ای به کدام تیره تعلق دارد؟,"[('اسپرس', 'B_ent'), ('علوفه\u200cای', 'I_ent'), ('به', 'O'), ('کدام', 'O'), ('تیره', 'O'), ('تعلق', 'O'), ('دارد؟', 'O')]",اسپرس علوفه‌ای,['http://fkg.iust.ac.ir/resource/اسپرس_علوفه\u200cای'],ns0__order_&_ns0__family_&_ns0__genus,"['باقلاسانان', 'باقلاییان', 'باقالی ها', 'اسپرس  سرده']","['http://fkg.iust.ac.ir/resource/باقلاسانان', 'http://fkg.iust.ac.ir/resource/باقلاییان', 'http://fkg.iust.ac.ir/resource/باقالی\u200cها', 'http://fkg.iust.ac.ir/resource/اسپرس_(سرده)']"
<ENT> در چه شهری قرار دارد ؟, خطیرکلا در چه شهری قرار دارد ؟,"[('خطیرکلا', 'B_ent'), ('در', 'O'), ('چه', 'O'), ('شهری', 'O'), ('قرار', 'O'), ('دارد', 'O'), ('؟', 'O')]",خطیرکلا,['http://fkg.iust.ac.ir/resource/خطیرکلا'],ns0__location_&_ns0__district_&_ns0__part,"['استان مازندران', 'بخش مرکزی شهرستان قائم شهر']","['http://fkg.iust.ac.ir/resource/استان_مازندران', 'http://fkg.iust.ac.ir/resource/بخش_مرکزی_شهرستان_قائم\u200cشهر']"
<ENT>  ساخت کجاست ؟, بی‌ای‌ئی سیستمز نمرود ام‌آرای۴ ساخت کجاست ؟,"[('بی\u200cای\u200cئی', 'B_ent'), ('سیستمز', 'I_ent'), ('نمرود', 'I_ent'), ('ام\u200cآرای۴', 'I_ent'), ('ساخت', 'O'), ('کجاست', 'O'), ('؟', 'O')]",بی‌ای‌ئی سیستمز نمرود ام‌آرای۴,['http://fkg.iust.ac.ir/resource/بی\u200cای\u200cئی_سیستمز_نمرود_ام\u200cآرای۴'],ns0__manufacturer,['بی ای ئی سیستمز'],['http://fkg.iust.ac.ir/resource/بی\u200cای\u200cئی_سیستمز']
<ENT> در کجا دار فانی را وداع گفته است ؟, گیلدا گری در کجا دار فانی را وداع گفته است ؟,"[('گیلدا', 'B_ent'), ('گری', 'I_ent'), ('در', 'O'), ('کجا', 'O'), ('دار', 'O'), ('فانی', 'O'), ('را', 'O'), ('وداع', 'O'), ('گفته', 'O'), ('است', 'O'), ('؟', 'O')]",گیلدا گری,['http://fkg.iust.ac.ir/resource/گیلدا_گری'],ns0__deathPlace,['لس آنجلس'],['http://fkg.iust.ac.ir/resource/لس_آنجلس']
<ENT> در چه منطقه ای است ؟, ابوشنان سفلی در چه منطقه ای است ؟,"[('ابوشنان', 'B_ent'), ('سفلی', 'I_ent'), ('در', 'O'), ('چه', 'O'), ('منطقه', 'O'), ('ای', 'O'), ('است', 'O'), ('؟', 'O')]",ابوشنان سفلی,['http://fkg.iust.ac.ir/resource/ابوشنان_سفلی'],ns0__location_&_ns0__district_&_ns0__part,"['بخش مشراگه', 'شهرستان رامشیر']","['http://fkg.iust.ac.ir/resource/بخش_مشراگه', 'http://fkg.iust.ac.ir/resource/شهرستان_رامشیر']"
<ENT> ازکجا مدیریت می شود ؟, دموکرات‌های متحد ازکجا مدیریت می شود ؟,"[('دموکرات\u200cهای', 'B_ent'), ('متحد', 'I_ent'), ('ازکجا', 'O'), ('مدیریت', 'O'), ('می', 'O'), ('شود', 'O'), ('؟', 'O')]",دموکرات‌های متحد,['http://fkg.iust.ac.ir/resource/دموکرات\u200cهای_متحد'],ns0__headquarter,"['قبرس', 'نیکوزیا']","['http://fkg.iust.ac.ir/resource/قبرس', 'http://fkg.iust.ac.ir/resource/نیکوزیا']"
زادگاه  <ENT> کجاست ؟‌,زادگاه شاهی اونو کجاست ؟‌,"[('زادگاه', 'O'), ('شاهی', 'B_ent'), ('اونو', 'I_ent'), ('کجاست', 'O'), ('؟\u200c', 'O')]",شاهی اونو,['http://fkg.iust.ac.ir/resource/شاهی_اونو'],ns0__birthPlace,['استان یاماگوچی'],['http://fkg.iust.ac.ir/resource/استان_یاماگوچی']
<ENT> در چه منطقه ای است ؟, علوی‌کلا در چه منطقه ای است ؟,"[('علوی\u200cکلا', 'B_ent'), ('در', 'O'), ('چه', 'O'), ('منطقه', 'O'), ('ای', 'O'), ('است', 'O'), ('؟', 'O')]",علوی‌کلا,['http://fkg.iust.ac.ir/resource/علوی\u200cکلا'],ns0__location_&_ns0__district_&_ns0__part,"['بخش مرکزی شهرستان نوشهر', 'استان مازندران']","['http://fkg.iust.ac.ir/resource/بخش_مرکزی_شهرستان_نوشهر', 'http://fkg.iust.ac.ir/resource/استان_مازندران']"
<ENT> در چه شهری قرار دارد ؟, چهاربت در چه شهری قرار دارد ؟,"[('چهاربت', 'B_ent'), ('در', 'O'), ('چه', 'O'), ('شهری', 'O'), ('قرار', 'O'), ('دارد', 'O'), ('؟', 'O')]",چهاربت,['http://fkg.iust.ac.ir/resource/چهاربت'],ns0__location_&_ns0__district_&_ns0__part,"['بخش نالوس', 'شهرستان اشنویه']","['http://fkg.iust.ac.ir/resource/بخش_نالوس', 'http://fkg.iust.ac.ir/resource/شهرستان_اشنویه']"
زادگاه  <ENT> کجاست ؟‌,زادگاه آندریاس ویلسون کجاست ؟‌,"[('زادگاه', 'O'), ('آندریاس', 'B_ent'), ('ویلسون', 'I_ent'), ('کجاست', 'O'), ('؟\u200c', 'O')]",آندریاس ویلسون,['http://fkg.iust.ac.ir/resource/آندریاس_ویلسون'],ns0__birthPlace,['استکهلم'],['http://fkg.iust.ac.ir/resource/استکهلم']
<ENT> در چه شهری قرار دارد ؟, گلدشت علیا در چه شهری قرار دارد ؟,"[('گلدشت', 'B_ent'), ('علیا', 'I_ent'), ('در', 'O'), ('چه', 'O'), ('شهری', 'O'), ('قرار', 'O'), ('دارد', 'O'), ('؟', 'O')]",گلدشت علیا,['http://fkg.iust.ac.ir/resource/گلدشت_علیا'],ns0__location_&_ns0__district_&_ns0__part,"['شهرستان مرودشت', 'بخش مرکزی شهرستان مرودشت']","['http://fkg.iust.ac.ir/resource/شهرستان_مرودشت', 'http://fkg.iust.ac.ir/resource/بخش_مرکزی_شهرستان_مرودشت']"
<ENT> در کجا به دنیا امده است؟, جف فلیک در کجا به دنیا امده است؟,"[('جف', 'B_ent'), ('فلیک', 'I_ent'), ('در', 'O'), ('کجا', 'O'), ('به', 'O'), ('دنیا', 'O'), ('امده', 'O'), ('است؟', 'O')]",جف فلیک,['http://fkg.iust.ac.ir/resource/جف_فلیک'],ns0__birthPlace,"['اسنوفلیک  آریزونا', 'ایالات متحده آمریکا']","['http://fkg.iust.ac.ir/resource/اسنوفلیک،_آریزونا', 'http://fkg.iust.ac.ir/resource/ایالات_متحده_آمریکا']"
<ENT> در کجا به دنیا امده است؟, آنا شوآرتز در کجا به دنیا امده است؟,"[('آنا', 'B_ent'), ('شوآرتز', 'I_ent'), ('در', 'O'), ('کجا', 'O'), ('به', 'O'), ('دنیا', 'O'), ('امده', 'O'), ('است؟', 'O')]",آنا شوآرتز,['http://fkg.iust.ac.ir/resource/آنا_شوآرتز'],ns0__birthPlace,"['نیویورک سی تی', 'نیویورک']","['http://fkg.iust.ac.ir/resource/نیویورک_سی\u200cتی', 'http://fkg.iust.ac.ir/resource/نیویورک']"
محل مرگ  <ENT>   کجاست ؟,محل مرگ آنتون سعاده کجاست ؟,"[('محل', 'O'), ('مرگ', 'O'), ('آنتون', 'B_ent'), ('سعاده', 'I_ent'), ('کجاست', 'O'), ('؟', 'O')]",آنتون سعاده,['http://fkg.iust.ac.ir/resource/آنتون_سعاده'],ns0__deathPlace,['بیروت'],['http://fkg.iust.ac.ir/resource/بیروت']
<ENT> در کجا از دنیا رفت ؟, آرتور کیلی در کجا از دنیا رفت ؟,"[('آرتور', 'B_ent'), ('کیلی', 'I_ent'), ('در', 'O'), ('کجا', 'O'), ('از', 'O'), ('دنیا', 'O'), ('رفت', 'O'), ('؟', 'O')]",آرتور کیلی,['http://fkg.iust.ac.ir/resource/آرتور_کیلی'],ns0__deathPlace,"['انگلستان', 'کمبریج']","['http://fkg.iust.ac.ir/resource/انگلستان', 'http://fkg.iust.ac.ir/resource/کمبریج']"
<ENT> در کجا متولد شد ؟, علیرضا عسگری در کجا متولد شد ؟,"[('علیرضا', 'B_ent'), ('عسگری', 'I_ent'), ('در', 'O'), ('کجا', 'O'), ('متولد', 'O'), ('شد', 'O'), ('؟', 'O')]",علیرضا عسگری,['http://fkg.iust.ac.ir/resource/علیرضا_عسگری'],ns0__birthPlace,"['شهرری', 'استان تهران']","['http://fkg.iust.ac.ir/resource/شهرری', 'http://fkg.iust.ac.ir/resource/استان_تهران']"
<ENT> از چه تیره ای است؟, گلایول دیکروس از چه تیره ای است؟,"[('گلایول', 'B_ent'), ('دیکروس', 'I_ent'), ('از', 'O'), ('چه', 'O'), ('تیره', 'O'), ('ای', 'O'), ('است؟', 'O')]",گلایول دیکروس,['http://fkg.iust.ac.ir/resource/گلایول_دیکروس'],ns0__order_&_ns0__family_&_ns0__genus,"['مارچوبه سانان', 'زنبقیان', 'گلایول']","['http://fkg.iust.ac.ir/resource/مارچوبه\u200cسانان', 'http://fkg.iust.ac.ir/resource/زنبقیان', 'http://fkg.iust.ac.ir/resource/گلایول']"
<ENT> در چه دسته ای قرار می گیرد ؟, جکوهای انگشت‌برگی در چه دسته ای قرار می گیرد ؟,"[('جکوهای', 'B_ent'), ('انگشت\u200cبرگی', 'I_ent'), ('در', 'O'), ('چه', 'O'), ('دسته', 'O'), ('ای', 'O'), ('قرار', 'O'), ('می', 'O'), ('گیرد', 'O'), ('؟', 'O')]",جکوهای انگشت‌برگی,['http://fkg.iust.ac.ir/resource/جکوهای_انگشت\u200cبرگی'],ns0__order_&_ns0__family_&_ns0__genus,"['پولک داران', 'جکو']","['http://fkg.iust.ac.ir/resource/پولک\u200cداران', 'http://fkg.iust.ac.ir/resource/جکو']"
<ENT> در چه منطقه ای است ؟, شاه ابوالفتح در چه منطقه ای است ؟,"[('شاه', 'B_ent'), ('ابوالفتح', 'I_ent'), ('در', 'O'), ('چه', 'O'), ('منطقه', 'O'), ('ای', 'O'), ('است', 'O'), ('؟', 'O')]",شاه ابوالفتح,['http://fkg.iust.ac.ir/resource/شاه_ابوالفتح'],ns0__location_&_ns0__district_&_ns0__part,"['بخش مرکزی شهرستان فسا', 'شهرستان فسا']","['http://fkg.iust.ac.ir/resource/بخش_مرکزی_شهرستان_فسا', 'http://fkg.iust.ac.ir/resource/شهرستان_فسا']"
<ENT> در کجا متولد شد ؟, رابرت بنتلی در کجا متولد شد ؟,"[('رابرت', 'B_ent'), ('بنتلی', 'I_ent'), ('در', 'O'), ('کجا', 'O'), ('متولد', 'O'), ('شد', 'O'), ('؟', 'O')]",رابرت بنتلی,['http://fkg.iust.ac.ir/resource/رابرت_بنتلی'],ns0__birthPlace,['کلمبیانا  آلاباما'],['http://fkg.iust.ac.ir/resource/کلمبیانا،_آلاباما']
<ENT> در چه دسته ای قرار می گیرد ؟, اسب اسکات در چه دسته ای قرار می گیرد ؟,"[('اسب', 'B_ent'), ('اسکات', 'I_ent'), ('در', 'O'), ('چه', 'O'), ('دسته', 'O'), ('ای', 'O'), ('قرار', 'O'), ('می', 'O'), ('گیرد', 'O'), ('؟', 'O')]",اسب اسکات,['http://fkg.iust.ac.ir/resource/اسب_اسکات'],ns0__order_&_ns0__family_&_ns0__genus,"['تک سم سانان', 'اسبیان', 'ستوران']","['http://fkg.iust.ac.ir/resource/تک\u200cسم\u200cسانان', 'http://fkg.iust.ac.ir/resource/اسبیان', 'http://fkg.iust.ac.ir/resource/ستوران']"
<ENT> در چه شهری قرار دارد ؟, چهارخری در چه شهری قرار دارد ؟,"[('چهارخری', 'B_ent'), ('در', 'O'), ('چه', 'O'), ('شهری', 'O'), ('قرار', 'O'), ('دارد', 'O'), ('؟', 'O')]",چهارخری,['http://fkg.iust.ac.ir/resource/چهارخری'],ns0__location_&_ns0__district_&_ns0__part,"['بخش مرکزی شهرستان زابل', 'شهرستان زابل']","['http://fkg.iust.ac.ir/resource/بخش_مرکزی_شهرستان_زابل', 'http://fkg.iust.ac.ir/resource/شهرستان_زابل']"
چه کسی در <ENT> نقش اول را داشته است؟,چه کسی در نیاز نقش اول را داشته است؟,"[('چه', 'O'), ('کسی', 'O'), ('در', 'O'), ('نیاز', 'B_ent'), ('نقش', 'O'), ('اول', 'O'), ('را', 'O'), ('داشته', 'O'), ('است؟', 'O')]",نیاز,['http://fkg.iust.ac.ir/resource/نیاز_(فیلم)'],ns0__starring,"['عزت الله صلح جو مهربان', 'علی سوری', 'محمد یوسفی', 'حبیب الله قلیچ خانی', 'حسین میرآقایی', 'صدرالله اعتصامی', 'شجاع الدین حبیبیان', 'ترحم فتحی', 'شهره لرستانی']","['http://fkg.iust.ac.ir/resource/عزت\u200cالله_صلح\u200cجو_مهربان', 'http://fkg.iust.ac.ir/resource/علی_سوری', 'http://fkg.iust.ac.ir/resource/محمد_یوسفی', 'http://fkg.iust.ac.ir/resource/حبیب\u200cالله_قلیچ\u200cخانی', 'http://fkg.iust.ac.ir/resource/حسین_میرآقایی', 'http://fkg.iust.ac.ir/resource/صدرالله_اعتصامی', 'http://fkg.iust.ac.ir/resource/شجاع\u200cالدین_حبیبیان', 'http://fkg.iust.ac.ir/resource/ترحم_فتحی', 'http://fkg.iust.ac.ir/resource/شهره_لرستانی']"
<ENT> از چه گروهی است ؟, تیتی ویرا از چه گروهی است ؟,"[('تیتی', 'B_ent'), ('ویرا', 'I_ent'), ('از', 'O'), ('چه', 'O'), ('گروهی', 'O'), ('است', 'O'), ('؟', 'O')]",تیتی ویرا,['http://fkg.iust.ac.ir/resource/تیتی_ویرا'],ns0__order_&_ns0__family_&_ns0__genus,"['نخستی سانان', 'لخت صورتان']","['http://fkg.iust.ac.ir/resource/نخستی\u200cسانان', 'http://fkg.iust.ac.ir/resource/لخت\u200cصورتان']"
<ENT> در چه شهری قرار دارد ؟, کلهور در چه شهری قرار دارد ؟,"[('کلهور', 'B_ent'), ('در', 'O'), ('چه', 'O'), ('شهری', 'O'), ('قرار', 'O'), ('دارد', 'O'), ('؟', 'O')]",کلهور,['http://fkg.iust.ac.ir/resource/کلهور'],ns0__location_&_ns0__district_&_ns0__part,['شهرستان اهر'],['http://fkg.iust.ac.ir/resource/شهرستان_اهر']
<ENT> در چه دسته ای قرار می گیرد ؟, گل ستاره پسفیک در چه دسته ای قرار می گیرد ؟,"[('گل', 'B_ent'), ('ستاره', 'I_ent'), ('پسفیک', 'I_ent'), ('در', 'O'), ('چه', 'O'), ('دسته', 'O'), ('ای', 'O'), ('قرار', 'O'), ('می', 'O'), ('گیرد', 'O'), ('؟', 'O')]",گل ستاره پسفیک,['http://fkg.iust.ac.ir/resource/گل_ستاره_پسفیک'],ns0__order_&_ns0__family_&_ns0__genus,"['آستریدها', 'خلنگ سانان', 'تیره کرگل', 'Trientalis']","['http://fkg.iust.ac.ir/resource/آستریدها', 'http://fkg.iust.ac.ir/resource/خلنگ\u200cسانان', 'http://fkg.iust.ac.ir/resource/تیره_کرگل', 'http://fkg.iust.ac.ir/resource/Trientalis']"
ستاره معروف <ENT> کیست ؟,ستاره معروف شطرنج‌بازان کیست ؟,"[('ستاره', 'O'), ('معروف', 'O'), ('شطرنج\u200cبازان', 'B_ent'), ('کیست', 'O'), ('؟', 'O')]",شطرنج‌بازان,['http://fkg.iust.ac.ir/resource/شطرنج\u200cبازان_(فیلم)'],ns0__starring,"['David  actor', 'سانجیو کومار', 'فریدا جلال', 'شبانه اعظمی', 'ویکتور بنرجی', 'امجد خان', 'آمیتاب باچان', 'ریچارد اتنبرا', 'سعید جعفری']","['http://fkg.iust.ac.ir/resource/David_(actor)', 'http://fkg.iust.ac.ir/resource/سانجیو_کومار', 'http://fkg.iust.ac.ir/resource/فریدا_جلال', 'http://fkg.iust.ac.ir/resource/شبانه_اعظمی', 'http://fkg.iust.ac.ir/resource/ویکتور_بنرجی', 'http://fkg.iust.ac.ir/resource/امجد_خان', 'http://fkg.iust.ac.ir/resource/آمیتاب_باچان', 'http://fkg.iust.ac.ir/resource/ریچارد_اتنبرا', 'http://fkg.iust.ac.ir/resource/سعید_جعفری']"
ستاره معروف <ENT> کیست ؟,ستاره معروف ابد و یک روز کیست ؟,"[('ستاره', 'O'), ('معروف', 'O'), ('ابد', 'B_ent'), ('و', 'I_ent'), ('یک', 'I_ent'), ('روز', 'I_ent'), ('کیست', 'O'), ('؟', 'O')]",ابد و یک روز,['http://fkg.iust.ac.ir/resource/ابد_و_یک_روز'],ns0__starring,"['پریناز ایزدیار', 'ریما رامین فر', 'شبنم مقدمی', 'نوید محمدزاده', 'مهدی قربانی  بازیگر', 'پیمان معادی', 'شیرین یزدان بخش', 'معصومه رحمانی']","['http://fkg.iust.ac.ir/resource/پریناز_ایزدیار', 'http://fkg.iust.ac.ir/resource/ریما_رامین\u200cفر', 'http://fkg.iust.ac.ir/resource/شبنم_مقدمی', 'http://fkg.iust.ac.ir/resource/نوید_محمدزاده', 'http://fkg.iust.ac.ir/resource/مهدی_قربانی_(بازیگر)', 'http://fkg.iust.ac.ir/resource/پیمان_معادی', 'http://fkg.iust.ac.ir/resource/شیرین_یزدان\u200cبخش', 'http://fkg.iust.ac.ir/resource/معصومه_رحمانی']"
<ENT> چه کسی را به عنوان جانشین داشته است ؟, بیوک رودمستر چه کسی را به عنوان جانشین داشته است ؟,"[('بیوک', 'B_ent'), ('رودمستر', 'I_ent'), ('چه', 'O'), ('کسی', 'O'), ('را', 'O'), ('به', 'O'), ('عنوان', 'O'), ('جانشین', 'O'), ('داشته', 'O'), ('است', 'O'), ('؟', 'O')]",بیوک رودمستر,['http://fkg.iust.ac.ir/resource/بیوک_رودمستر'],ns0__successor,['بیوک پارک اونیو'],['http://fkg.iust.ac.ir/resource/بیوک_پارک_اونیو']
زادگاه  <ENT> کجاست ؟‌,زادگاه دورا برایان کجاست ؟‌,"[('زادگاه', 'O'), ('دورا', 'B_ent'), ('برایان', 'I_ent'), ('کجاست', 'O'), ('؟\u200c', 'O')]",دورا برایان,['http://fkg.iust.ac.ir/resource/دورا_برایان'],ns0__birthPlace,"['لانکاشر', 'Parbold']","['http://fkg.iust.ac.ir/resource/لانکاشر', 'http://fkg.iust.ac.ir/resource/Parbold']"
<ENT> در چه شهری قرار دارد ؟, بیگلرآباد در چه شهری قرار دارد ؟,"[('بیگلرآباد', 'B_ent'), ('در', 'O'), ('چه', 'O'), ('شهری', 'O'), ('قرار', 'O'), ('دارد', 'O'), ('؟', 'O')]",بیگلرآباد,['http://fkg.iust.ac.ir/resource/بیگلرآباد'],ns0__location_&_ns0__district_&_ns0__part,"['استان هرمزگان', 'بخش مرکزی شهرستان بستک']","['http://fkg.iust.ac.ir/resource/استان_هرمزگان', 'http://fkg.iust.ac.ir/resource/بخش_مرکزی_شهرستان_بستک']"
